store_id,store_name,city,state,region
S00001,Mumbai Plaza 18,Mumbai,Maharashtra,West
S00002,Bhubaneswar Express 32,Bhubaneswar,Odisha,East
S00003,Pune Mall 22,Pune,Maharashtra,West
S00004,Chennai Square 81,Chennai,Tamil Nadu,South
S00005,Patna Hub 58,Patna,Bihar,East
S00006,Jaipur Express 52,Jaipur,Rajasthan,North
S00007,Pune Market 49,Pune,Maharashtra,West
S00008,Visakhapatnam Plaza 28,Visakhapatnam,Andhra Pradesh,South
S00009,Bhubaneswar Hub 23,Bhubaneswar,Odisha,East
S00010,Bengaluru Plaza 43,Bengaluru,Karnataka,South
S00011,Chennai Market 35,Chennai,Tamil Nadu,South
S00012,Pune Central 33,Pune,Maharashtra,West
S00013,Jaipur Central 7,Jaipur,Rajasthan,North
S00014,Hyderabad Market 63,Hyderabad,Telangana,South
S00015,Noida Express 23,Noida,Uttar Pradesh,North
S00016,Chennai Central 5,Chennai,Tamil Nadu,South
S00017,Kochi Mall 26,Kochi,Kerala,South
S00018,Lucknow Market 85,Lucknow,Uttar Pradesh,North
S00019,Ranchi Hub 2,Ranchi,Jharkhand,East
S00020,Hyderabad Plaza 6,Hyderabad,Telangana,South
S00021,Indore Plaza 76,Indore,Madhya Pradesh,Central
S00022,Hyderabad Central 97,Hyderabad,Telangana,South
S00023,Noida Central 80,Noida,Uttar Pradesh,North
S00024,Ranchi Express 8,Ranchi,Jharkhand,East
S00025,Kolkata Express 18,Kolkata,West Bengal,East
S00026,Chennai Plaza 45,Chennai,Tamil Nadu,South
S00027,Coimbatore Central 70,Coimbatore,Tamil Nadu,South
S00028,Nagpur Square 87,Nagpur,Maharashtra,West
S00029,Bhubaneswar Plaza 12,Bhubaneswar,Odisha,East
S00030,Ranchi Express 16,Ranchi,Jharkhand,East
S00031,Visakhapatnam Square 46,Visakhapatnam,Andhra Pradesh,South
S00032,Bhubaneswar Hub 40,Bhubaneswar,Odisha,East
S00033,Kochi Market 34,Kochi,Kerala,South
S00034,Indore Mall 99,Indore,Madhya Pradesh,Central
S00035,Lucknow Hub 45,Lucknow,Uttar Pradesh,North
S00036,Chennai Market 67,Chennai,Tamil Nadu,South
S00037,Indore Plaza 86,Indore,Madhya Pradesh,Central
S00038,Bengaluru Central 40,Bengaluru,Karnataka,South
S00039,Pune Market 85,Pune,Maharashtra,West
S00040,Patna Mall 17,Patna,Bihar,East
S00041,Delhi Mall 95,Delhi,Delhi,North
S00042,Nagpur Plaza 37,Nagpur,Maharashtra,West
S00043,Nagpur Square 96,Nagpur,Maharashtra,West
S00044,Nagpur Square 20,Nagpur,Maharashtra,West
S00045,Hyderabad Square 30,Hyderabad,Telangana,South
S00046,Lucknow Express 65,Lucknow,Uttar Pradesh,North
S00047,Delhi Market 79,Delhi,Delhi,North
S00048,Visakhapatnam Central 13,Visakhapatnam,Andhra Pradesh,South
S00049,Ranchi Plaza 21,Ranchi,Jharkhand,East
S00050,Indore Hub 80,Indore,Madhya Pradesh,Central
S00051,Nagpur Mall 22,Nagpur,Maharashtra,West
S00052,Kolkata Square 54,Kolkata,West Bengal,East
S00053,Chennai Plaza 15,Chennai,Tamil Nadu,South
S00054,Chandigarh Mall 3,Chandigarh,Chandigarh,North
